School Name,School Code,Link (Excel),Direct URL
S2076 KIRIBA,results\s2076,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2076.htm
S2077 NYANJA,results\s2077,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2077.htm
S2078 MASABA,results\s2078,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2078.htm
S2079 BUTUGURI,results\s2079,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2079.htm
S2080 WEGERO,results\s2080,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2080.htm
S2082 BUMASWA DAY,results\s2082,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2082.htm
S2083 BUKO,results\s2083,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2083.htm
S2084 MKIRIRA,results\s2084,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2084.htm
S2085 KILEO DAY,results\s2085,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2085.htm
S2086 KAKORA,results\s2086,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2086.htm
S2087 ISAKAMAWE,results\s2087,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2087.htm
S2088 ILOLANGULU,results\s2088,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2088.htm
S2089 IYOGELO,results\s2089,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2089.htm
S2090 LAGHANGA,results\s2090,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2090.htm
S2091 MWAMASHELE,results\s2091,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2091.htm
S2092 UKENYENGE,results\s2092,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2092.htm
S2093 BUBIKI,results\s2093,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2093.htm
S2094 DIDIA,results\s2094,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2094.htm
S2095 IMESELA,results\s2095,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2095.htm
S2096 USULE,results\s2096,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2096.htm
S2097 PANDAGICHIZA,results\s2097,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2097.htm
S2098 LYABUKANDE,results\s2098,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2098.htm
S2099 SAKASAKA,results\s2099,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2099.htm
S2100 MWAMANONGU,results\s2100,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2100.htm
S2101 MZALENDO,results\s2101,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2101.htm
S2102 LUFINGO,results\s2102,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2102.htm
S2103 ITALE,results\s2103,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2103.htm
S2104 BUPIGU,results\s2104,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2104.htm
S2105 NYALANJA,results\s2105,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2105.htm
S2106 MAHEMBE,results\s2106,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2106.htm
S2107 SOMANDA,results\s2107,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2107.htm
S2108 MWADOBANA DAY,results\s2108,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2108.htm
S2109 GASUMA,results\s2109,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2109.htm
S2110 MHUNZE,results\s2110,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2110.htm
S2111 MWASWALE,results\s2111,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2111.htm
S2112 BUMERA,results\s2112,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2112.htm
S2113 NYAKABINDI,results\s2113,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2113.htm
S2114 MTWIVILA,results\s2114,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2114.htm
S2115 WALLA,results\s2115,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2115.htm
S2116 NG'WAMABANZA,results\s2116,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2116.htm
S2117 IGALUKILO,results\s2117,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2117.htm
S2118 KONGOLO,results\s2118,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2118.htm
S2119 HARVEST MISSION,results\s2119,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2119.htm
S2120 KATUMA,results\s2120,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2120.htm
S2121 LUHUNGA,results\s2121,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2121.htm
S2123 MAMBA DAY,results\s2123,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2123.htm
S2124 MBINGU,results\s2124,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2124.htm
S2125 RUNDUGAI,results\s2125,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2125.htm
S2126 BICHA,results\s2126,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2126.htm
S2127 KISESE,results\s2127,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2127.htm
S2129 HURUI,results\s2129,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2129.htm
S2130 DILAI,results\s2130,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2130.htm
S2131 JANGALO,results\s2131,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2131.htm
S2132 ITASWI,results\s2132,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2132.htm
S2133 SONGOLO,results\s2133,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2133.htm
S2134 KISULUNI,results\s2134,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2134.htm
S2135 LUHUNDWA,results\s2135,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2135.htm
S2136 MOUNT IGOVU,results\s2136,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2136.htm
S2137 KIMAGHAI,results\s2137,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2137.htm
S2138 VINGHAWE,results\s2138,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2138.htm
S2139 MASSA,results\s2139,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2139.htm
S2140 NKUMBA,results\s2140,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2140.htm
S2141 IPULI,results\s2141,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2141.htm
S2142 KAZE HILL,results\s2142,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2142.htm
S2143 CHEYO,results\s2143,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2143.htm
S2144 ITETEMIA,results\s2144,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2144.htm
S2145 TONGI,results\s2145,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2145.htm
S2146 KAMPALA,results\s2146,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2146.htm
S2147 HAMZA AZIZI ALLY MEMORIAL,results\s2147,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2147.htm
S2148 CHABUTWA,results\s2148,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2148.htm
S2149 PANGALE,results\s2149,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2149.htm
S2150 IGIGWA,results\s2150,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2150.htm
S2151 GOWEKO,results\s2151,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2151.htm
S2152 MAKAZI,results\s2152,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2152.htm
S2153 AQUINAS,results\s2153,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2153.htm
S2154 NITEKELA,results\s2154,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2154.htm
S2155 KISIWA,results\s2155,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2155.htm
S2156 KABAGWE,results\s2156,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2156.htm
S2157 MUHINDA,results\s2157,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2157.htm
S2158 NYAKIMUE,results\s2158,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2158.htm
S2159 MTO BUBU DAY,results\s2159,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2159.htm
S2160 CHANGAA,results\s2160,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2160.htm
S2161 KAAGYA,results\s2161,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2161.htm
S2162 KYAKA,results\s2162,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2162.htm
S2163 BUJUGO,results\s2163,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2163.htm
S2164 KILIMLILE,results\s2164,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2164.htm
S2165 KYAMULAILE,results\s2165,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2165.htm
S2166 KIROKA,results\s2166,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2166.htm
S2167 KINOLE,results\s2167,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2167.htm
S2168 TAWA,results\s2168,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2168.htm
S2169 KISEMU,results\s2169,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2169.htm
S2170 BWAKIRACHINI,results\s2170,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2170.htm
S2171 KISAKI,results\s2171,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2171.htm
S2172 MANDAKA DAY,results\s2172,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2172.htm
S2173 KIRYA DAY,results\s2173,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2173.htm
S2174 NKOMA DAY,results\s2174,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2174.htm
S2175 DR. ALI M. SHEIN,results\s2175,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2175.htm
S2176 MASINDA DAY,results\s2176,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2176.htm
S2177 MUHINTIRI,results\s2177,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2177.htm
S2178 GOLDEN RIDGE,results\s2178,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2178.htm
S2179 NTUNTU,results\s2179,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2179.htm
S2180 MAGNIFICAT,results\s2180,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2180.htm
S2182 UGHANDI,results\s2182,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2182.htm
S2183 MINYUGHE,results\s2183,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2183.htm
S2184 MWARU,results\s2184,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2184.htm
S2185 MUDIDA,results\s2185,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2185.htm
S2186 MTINKO,results\s2186,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2186.htm
S2187 WEMBERE,results\s2187,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2187.htm
S2188 MSISI,results\s2188,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2188.htm
S2189 IRISYA,results\s2189,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2189.htm
S2190 MAKURO,results\s2190,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2190.htm
S2191 MWANAMWEMA SHEIN,results\s2191,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2191.htm
S2192 KIMADOI,results\s2192,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2192.htm
S2193 KINTINKU,results\s2193,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2193.htm
S2194 MAKURU,results\s2194,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2194.htm
S2195 NKONKO,results\s2195,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2195.htm
S2196 HEKA,results\s2196,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2196.htm
S2197 MANYONI,results\s2197,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2197.htm
S2198 MTIPA,results\s2198,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2198.htm
S2199 MWANKOKO,results\s2199,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2199.htm
S2200 MTAMAA,results\s2200,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2200.htm
S2201 UNYAMIKUMBI,results\s2201,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2201.htm
S2202 MUNGUMAJI,results\s2202,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2202.htm
S2203 MANDEWA,results\s2203,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2203.htm
S2204 NDUGUTI,results\s2204,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2204.htm
S2205 KINYANGIRI,results\s2205,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2205.htm
S2206 MEASKRON,results\s2206,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2206.htm
S2207 KUNZUGU,results\s2207,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2207.htm
S2208 RUHANGA,results\s2208,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2208.htm
S2209 KASUNGAMILE,results\s2209,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2209.htm
S2210 ECKERNFORDE CAMBRIDGE,results\s2210,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2210.htm
S2211 MWILAMVYA,results\s2211,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2211.htm
S2212 MWESE,results\s2212,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2212.htm
S2213 USEVYA,results\s2213,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2213.htm
S2214 RUNGWA,results\s2214,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2214.htm
S2215 KALAMBO,results\s2215,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2215.htm
S2216 MAZOKA,results\s2216,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2216.htm
S2217 MPUNYULE,results\s2217,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2217.htm
S2218 NAHUKAHUKA,results\s2218,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2218.htm
S2219 NAMBAMBO,results\s2219,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2219.htm
S2220 NAIPANGA,results\s2220,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2220.htm
S2221 NAIPINGO,results\s2221,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2221.htm
S2222 MARAMBO,results\s2222,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2222.htm
S2223 IWAMBI,results\s2223,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2223.htm
S2224 MLAFU,results\s2224,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2224.htm
S2225 UHAMBINGETO,results\s2225,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2225.htm
S2226 MASISIWE,results\s2226,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2226.htm
S2227 KITOWO,results\s2227,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2227.htm
S2228 KILOLE DAY,results\s2228,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2228.htm
S2229 MADEGE,results\s2229,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2229.htm
S2230 NDAMA,results\s2230,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2230.htm
S2231 CHAKARURU,results\s2231,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2231.htm
S2232 NYAKAHANGA,results\s2232,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2232.htm
S2233 KAYANGA,results\s2233,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2233.htm
S2234 RUHINDA,results\s2234,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2234.htm
S2235 NKWENDA,results\s2235,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2235.htm
S2236 NTARE,results\s2236,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2236.htm
S2237 KIHANGA,results\s2237,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2237.htm
S2238 NYAMILIMA,results\s2238,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2238.htm
S2239 NYABUSOZI,results\s2239,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2239.htm
S2240 MAKURUGUSI,results\s2240,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2240.htm
S2241 ILEMELA,results\s2241,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2241.htm
S2242 NYALUHANDE DAY,results\s2242,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2242.htm
S2243 ITUMBILI,results\s2243,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2243.htm
S2244 LAMADI,results\s2244,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2244.htm
S2245 KITUMBA,results\s2245,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2245.htm
S2246 LEMIRA DAY,results\s2246,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2246.htm
S2247 MARIRE DAY,results\s2247,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2247.htm
S2248 MUKWASA DAY,results\s2248,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2248.htm
S2249 FUKA,results\s2249,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2249.htm
S2250 MBUZII,results\s2250,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2250.htm
S2251 MAYO DAY,results\s2251,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2251.htm
S2252 ALOYSIUS,results\s2252,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2252.htm
S2253 PONGWE,results\s2253,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2253.htm
S2254 KIHERE,results\s2254,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2254.htm
S2255 POTWE DAY,results\s2255,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2255.htm
S2256 MANZA DAY,results\s2256,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2256.htm
S2257 MJI MPYA,results\s2257,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2257.htm
S2258 REGINALD MENGI,results\s2258,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2258.htm
S2259 MARY NAGU,results\s2259,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2259.htm
S2260 MASAKTA,results\s2260,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2260.htm
S2261 DANIEL NOUD,results\s2261,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2261.htm
S2262 WARETA,results\s2262,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2262.htm
S2263 GISAMBALANG,results\s2263,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2263.htm
S2264 HANANG,results\s2264,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2264.htm
S2265 ELERAI,results\s2265,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2265.htm
S2267 MIHINGO,results\s2267,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2267.htm
S2268 LUGONGO,results\s2268,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2268.htm
S2269 BUSANGUMUGU,results\s2269,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2269.htm
S2270 MUKITUNTU,results\s2270,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2270.htm
S2271 MWAMALOLE,results\s2271,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2271.htm
S2272 MWABUMA,results\s2272,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2272.htm
S2273 PAJI,results\s2273,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2273.htm
S2274 LINGEKA,results\s2274,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2274.htm
S2275 LUBIGA,results\s2275,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2275.htm
S2277 BUSI,results\s2277,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2277.htm
S2278 MACECHU,results\s2278,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2278.htm
S2280 UNGULU,results\s2280,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2280.htm
S2281 MTANDI,results\s2281,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2281.htm
S2282 IKINGA,results\s2282,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2282.htm
S2283 NKUNGA,results\s2283,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2283.htm
S2284 MTAMBULA,results\s2284,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2284.htm
S2285 MNINGA,results\s2285,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2285.htm
S2286 KINYANAMBO,results\s2286,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2286.htm
S2287 NYAIBARA,results\s2287,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2287.htm
S2288 KIBASUKA,results\s2288,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\s2288.htm
